epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,21,,,,,,,96,86,63,20,223.4,2745,10801,31,0,8.3,2.1;14.1;2.4;1.5;1.2;0.3;28.3;55.9;7.3;7.6;41.3;28.9;1.2;0.9;2.1;0.0;0.6;0.0;0.0;0.0;0.0;0.9;1.8;0.0,28.06,0.14,0.0,0.03,14.389,0.791,4541.0,139746.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,100,98,64,20,223.0,2745,10801,32,0,8.3,1.5;15.4;2.5;0.6;1.9;0.6;32.7;43.7;6.2;5.9;35.0;50.5;0.3;0.3;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0.9;0.0,28.06,0.14,0.01,0.05,14.389,0.791,4394.0,10937.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,,,,,,97,94,64,20,221.6,2745,10801,32,0,8.1,1.2;10.2;4.0;3.4;1.8;0.6;38.5;46.5;6.7;7.3;35.5;35.4;1.2;0.6;0.3;0.0;0.0;0.0;0.0;0.6;0.3;0.6;0.6;0.0,28.05,0.14,0.0,0.03,14.389,0.791,4296.0,17333.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,,,,,,100,95,63,20,223.6,2745,10801,32,0,8.5,2.5;13.3;3.1;2.8;1.2;0.9;56.6;40.0;8.0;4.3;29.5;30.2;1.5;1.2;0.6;0.6;0.9;0.9;0.6;0.6;1.2;1.5;1.5;0.6,28.06,0.14,0.0,0.03,14.389,0.791,12890.0,168701.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,,,,,,100,96,62,22,222.9,2745,10801,32,0,7.7,0.9;13.1;1.8;0.9;0.9;0.3;36.2;33.7;10.3;3.0;33.7;44.7;0.3;0.6;0.0;0.0;0.3;0.0;0.3;0.0;0.0;1.8;0.6;0.0,28.05,0.14,0.0,0.03,14.389,0.791,5078.0,13183.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,,,,,,100,96,63,21,222.9,2745,10801,32,0,7.9,0.9;10.6;2.4;1.8;0.6;0.3;52.6;37.0;8.8;2.7;32.4;36.7;0.6;0.6;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.6;0.6;0.0,28.06,0.14,0.0,0.03,14.389,0.791,3955.0,181103.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,96,90,65,19,222.2,2745,10801,33,0,8.2,1.9;12.5;2.8;2.2;2.2;1.9;40.0;46.1;9.3;5.2;42.3;27.9;0.6;0.6;0.3;0.0;0.3;0.3;0.0;0.0;0.3;0.3;0.3;0.0,28.06,0.14,0.0,0.04,14.389,0.791,4931.0,10888.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,,,,,,,97,94,64,20,222.0,2745,10801,33,0,8.3,2.8;12.8;3.7;2.5;1.5;1.8;35.4;42.8;6.2;4.3;40.7;40.5;0.6;0.3;0.0;0.6;0.3;0.0;0.0;0.3;0.0;0.9;0.0;0.3,28.06,0.14,0.0,0.03,14.389,0.791,4736.0,91259.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,,,,,100,100,62,22,223.5,2745,10801,33,0,8.3,2.1;16.3;3.0;4.2;1.2;0.6;58.4;39.6;10.5;4.2;38.5;14.7;0.6;1.5;0.0;0.0;0.3;0.3;0.0;0.0;0.3;0.9;0.3;0.6,28.07,0.14,0.0,0.03,14.391,0.791,4833.0,13671.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,,,,,,96,94,64,20,222.4,2745,10801,33,0,7.5,0.9;13.0;1.5;1.2;0.6;0.9;28.3;49.4;4.0;4.6;36.0;37.8;0.9;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0,28.06,0.14,0.0,0.05,14.391,0.791,6689.0,81787.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
